Date,Open,High,Low,Close,Volume,Adj Close
2015-07-02,235.10,236.215,233.80,235.90,46517700,235.90
2015-07-01,232.60,238.548,231.60,234.25,46182500,234.25
2015-06-30,232.95,234.25,229.85,229.85,58641600,229.85
2015-06-29,231.05,235.00,230.15,232.80,49569300,232.80
2015-06-26,237.65,238.85,235.90,237.25,53292900,237.25
2015-06-25,239.25,242.10,238.60,239.35,33195200,239.35
2015-06-24,241.00,241.85,238.65,239.75,36015000,239.75
2015-06-23,240.60,242.75,240.10,240.95,47517500,240.95
2015-06-22,236.95,239.95,235.85,239.30,78782100,239.30
2015-06-19,232.85,235.90,232.053,233.65,72807900,233.65
2015-06-18,230.65,233.55,227.85,233.10,48810200,233.10
2015-06-17,234.10,235.50,230.50,230.50,38412300,230.50
2015-06-16,230.85,234.30,229.45,233.55,54743700,233.55
2015-06-15,232.95,233.95,231.10,231.20,29592000,231.20
2015-06-12,235.50,236.35,233.35,234.30,40122500,234.30
2015-06-11,235.70,238.40,235.00,237.00,57498000,237.00
2015-06-10,241.10,244.65,240.15,244.10,89336500,236.48
2015-06-09,244.00,245.35,240.40,241.75,55724700,234.203
2015-06-08,243.45,246.65,242.223,244.00,52636300,236.383
2015-06-05,254.00,258.00,242.022,242.05,133417700,234.494
2015-06-04,249.75,251.45,247.75,248.10,53540000,240.355
2015-06-03,252.70,253.473,249.35,250.40,67608500,242.583
2015-06-02,255.00,256.20,246.40,254.60,71273400,246.652
2015-06-01,254.50,256.85,253.55,254.30,62747800,246.362
2015-05-29,253.35,257.95,253.35,255.35,115627000,247.379
2015-05-28,251.00,253.73,249.992,253.70,50786600,245.78
2015-05-27,250.15,254.08,248.063,251.50,56580000,243.649
2015-05-26,255.00,255.50,249.75,250.75,80879200,242.922
2015-05-25,253.75,253.75,253.75,253.75,000,245.829
2015-05-22,252.50,256.00,247.00,253.75,150037100,245.829
2015-05-21,239.30,243.91,238.90,242.50,68211100,234.93
2015-05-20,234.00,239.20,232.35,238.85,131305600,231.394
2015-05-19,230.00,237.799,224.90,226.60,122710800,219.526
2015-05-18,235.75,236.00,232.60,234.10,54947300,226.792
2015-05-15,235.25,236.925,233.45,234.50,60118700,227.18
2015-05-14,234.90,236.15,233.05,235.40,42389800,228.052
2015-05-13,233.40,237.05,232.70,235.85,65102200,228.488
2015-05-12,233.90,236.857,228.80,233.60,69868600,226.308
2015-05-11,232.35,236.40,230.75,234.75,55014700,227.422
2015-05-08,236.10,236.85,230.70,233.30,78125500,226.017
2015-05-07,232.00,232.65,226.95,231.80,64098800,224.564
2015-05-06,230.00,233.05,228.70,232.20,63965100,224.951
2015-05-05,231.50,233.15,228.55,228.55,31604000,221.415
2015-05-04,230.00,230.00,230.00,230.00,000,222.82
2015-05-01,229.40,230.05,227.85,230.00,28511300,222.82
2015-04-30,231.40,232.388,228.581,230.55,52364000,223.353
2015-04-29,232.05,234.00,229.70,230.40,58606000,223.208
2015-04-28,231.50,232.40,227.60,229.75,70900500,222.578
2015-04-27,232.05,234.175,229.20,232.60,40781200,225.339
2015-04-24,230.90,235.20,230.463,232.25,61662900,225.00
2015-04-23,228.40,231.00,227.20,230.35,49640200,223.159
2015-04-22,228.45,230.00,225.60,227.50,46013200,220.398
2015-04-21,230.00,230.65,226.738,226.90,45268700,219.817
2015-04-20,229.45,230.00,226.40,229.00,39558800,221.851
2015-04-17,227.75,229.65,225.80,226.40,67098800,219.333
2015-04-16,228.90,230.10,226.70,227.40,63545600,220.301
2015-04-15,228.80,230.75,227.50,227.90,43803400,220.786
2015-04-14,227.90,230.63,227.55,229.35,40705600,222.19
2015-04-13,228.60,229.80,227.60,229.20,30337200,222.045
2015-04-10,225.80,229.90,225.30,229.30,153697800,222.142
2015-04-09,223.50,226.55,222.00,225.70,41845900,218.654
2015-04-08,225.00,225.50,222.40,222.55,42686700,215.603
2015-04-07,222.35,225.80,221.14,225.40,51956300,218.364
2015-04-06,222.20,222.20,222.20,222.20,000,215.264
2015-04-03,222.20,222.20,222.20,222.20,000,215.264
2015-04-02,221.00,223.05,219.80,222.20,42690500,215.264
2015-04-01,220.00,222.50,219.507,220.05,46460900,213.181
2015-03-31,225.05,225.45,220.35,220.45,60967200,213.568
2015-03-30,226.90,226.90,223.10,224.35,41488300,217.347
2015-03-27,227.95,228.35,224.20,224.70,57358300,217.686
2015-03-26,222.80,226.20,222.20,224.00,153890400,217.007
